Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
03-JUN-2022,20MICRONS,78.30,80.10,-0.0227,0.0385,0.0385,0.7355
03-JUN-2022,21STCENMGM,22.65,23.00,-0.0153,0.0195,0.0195,0.3725
03-JUN-2022,3IINFOLTD,48.65,48.40,0.0052,0.0285,0.0284,0.5426
03-JUN-2022,3MINDIA,21289.15,21355.75,-0.0031,0.0198,0.0197,0.3764
03-JUN-2022,3PLAND,13.80,14.35,-0.0391,0.0425,0.0424,0.8101
03-JUN-2022,500009,33.05,32.90,0.0045,0.0364,0.0363,0.6935
03-JUN-2022,500012,89.40,89.95,-0.0061,0.0330,0.0329,0.6286
03-JUN-2022,500014,5.40,5.07,0.0631,0.0460,0.0461,0.8807
03-JUN-2022,500016,11.67,11.57,0.0086,0.0352,0.0351,0.6706
03-JUN-2022,500028,8.05,7.98,0.0087,0.0330,0.0329,0.6286
03-JUN-2022,500058,11.60,12.19,-0.0496,0.0325,0.0327,0.6247
03-JUN-2022,500068,6229.30,6219.95,0.0015,0.0260,0.0259,0.4948
03-JUN-2022,500069,276.75,263.60,0.0487,0.0371,0.0372,0.7107
03-JUN-2022,500120,298.00,299.90,-0.0064,0.0316,0.0315,0.6018
03-JUN-2022,500123,3951.35,3904.40,0.0120,0.0215,0.0215,0.4108
03-JUN-2022,500142,6.99,6.68,0.0454,0.0353,0.0354,0.6763
03-JUN-2022,500143,74.45,71.00,0.0474,0.0410,0.0410,0.7833
03-JUN-2022,500147,1227.95,1249.95,-0.0178,0.0355,0.0355,0.6782
03-JUN-2022,500159,81.25,81.25,0.0000,0.0382,0.0381,0.7279
03-JUN-2022,500166,230.90,226.20,0.0206,0.0261,0.0260,0.4967
03-JUN-2022,500170,61.10,60.60,0.0082,0.0392,0.0391,0.7470
03-JUN-2022,500192,2.69,2.76,-0.0257,0.0347,0.0347,0.6629
03-JUN-2022,500202,6.94,7.25,-0.0437,0.0189,0.0191,0.3649
03-JUN-2022,500206,27.50,26.85,0.0239,0.0386,0.0385,0.7355
03-JUN-2022,500211,6.63,6.56,0.0106,0.0370,0.0369,0.7050
03-JUN-2022,500213,109.45,113.15,-0.0332,0.0347,0.0347,0.6629
03-JUN-2022,500220,159.35,160.00,-0.0041,0.0380,0.0379,0.7241
